node,lon,lat,r,theta,degree,x_poincare,y_poincare
鹰潭市,117.186973427897,28.1884278672939,4.875911176787532,5.515735613942391,11,0.7087871154583305,-0.6837898058091736
南昌市,115.914076118897,28.7305583767154,3.9760311278222864,5.432856845565077,76,0.6354389233550003,-0.7238202664104497
深圳市,114.33184513169,22.6456145275215,2.374290399669085,4.931381210488844,159,0.18024716092302645,-0.8098757627644786
九江市,116.329243180966,29.3286600155085,4.683617673316634,5.554352392346318,26,0.7322851361409272,-0.6537973096064752
保定市,115.988091864446,39.4757253851685,4.670516619197075,1.0016317414563485,27,0.5289254776692426,0.8267166209424988
吉林市,127.325949869867,43.7043098448954,4.722702782160598,0.5997467046076048,23,0.8109291199717749,0.5544849693324941
赣州市,115.061533041122,25.8973911921157,4.591125283909057,5.11110019819225,33,0.3804355864786558,-0.903057830860197
菏泽市,116.108647507579,34.7342885090532,4.709710452779407,0.3533807407513283,24,0.921457374846417,0.3398928710311336
苏州市,120.41299329588,31.3438044650613,3.46551640041836,6.065223286640322,107,0.917155442244116,-0.20313204903591298
温州市,120.808860975892,27.8873051875816,3.5700277364770834,5.740517148173829,101,0.8094340183277251,-0.4881391510700038
莆田市,118.928245721722,25.4169480482938,4.4556639433950345,5.440425681753919,43,0.6501285721155863,-0.729344038840943
开封市,114.146922191867,34.3831222361073,4.722702782160598,0.49572504401240103,23,0.8641202282056962,0.4672856193374557
百色市,105.295209959409,24.6776066725344,4.838063945949664,4.047878409321623,14,-0.6069796734699215,-0.7748434516508117
阜新市,121.627999607653,41.9552431406726,4.938345360741873,0.7362871260330959,6,0.730422375728086,0.6619847853600849
延边朝鲜族自治州,129.326002370973,43.0964502102758,4.761467066719141,0.5179775747602982,20,0.8540861807579178,0.48672620709434755
绥化市,125.829078384204,47.1931173283758,4.683617673316634,0.7901714794604642,26,0.6908301401841541,0.6974569234545911
鞍山市,122.771779344502,40.8235506990912,4.683617673316634,0.6143254540532626,26,0.8021907066430926,0.5658467220343837
天津市,117.558355083327,38.9055124728184,3.071851967430059,0.795685405834984,128,0.6378167090970518,0.6510763320341377
毕节市,104.629877122114,27.1337095977294,4.64420364012824,3.8324994249653415,29,-0.7559863813048638,-0.6250961791613515
贵阳市,106.331976174907,26.6867756225211,4.244373438135828,3.9988616812449522,58,-0.6359928555181785,-0.7346738223916858
重庆市,109.897210524052,31.1173587726908,3.1311214554257476,3.929635231455234,125,-0.6462181203853018,-0.649644927365118
黔东南苗族侗族自治州,109.060051059342,26.1549095801592,4.722702782160598,4.320015374812866,23,-0.3756430172181924,-0.9077179861879278
洛阳市,112.015928946591,34.4786750560163,4.510336711920958,1.5426789219929091,39,0.02750221655025675,0.9778629541709054
吕梁市,111.593939050285,38.336912462897,4.838063945949664,1.646033180438077,14,-0.0739842691053574,0.9814953013115969
驻马店市,114.635856091972,32.9885617002319,4.617740725913995,6.199436389101482,31,0.9770066184690306,-0.08201508499480754
巴音郭楞蒙古自治州,85.7193802908765,41.6850591151643,4.287464628562721,2.8294707184510184,55,-0.9258868195121904,0.29875475775708704
宜宾市,104.687222062776,28.8082481274417,4.696682183138622,3.6847696094523994,25,-0.8405880997438969,-0.5075104146640103
上海市,121.738543531222,31.1011350388583,1.9174124721184262,6.070202301211459,175,0.7268951385881358,-0.15720049480260867
遵义市,107.193592575271,28.1403397440609,4.5374260648651505,3.9558377478271676,37,-0.6718825091601226,-0.7118088330633302
七台河市,130.985847955863,45.75670606023,4.938345360741873,0.5834299410994568,6,0.8227012402590088,0.5430500642563145
大连市,121.614366595846,38.9073793614908,4.127264678390544,0.5339413960605803,66,0.8334841368298235,0.49277563154127246
铜陵市,117.626466723472,30.8152535586182,4.888461805469018,5.881824061449251,10,0.9067650314874077,-0.38482991664477184
铜仁市,109.15838031954,27.6718489561954,4.735659467089594,4.241246952282783,22,-0.4460059811926528,-0.8755456857340174
